,date,Bitcoin_close,gold,dollar_index,CPI,PPI,UNRATE,FEDFUNDS,Oil,Bond2yr,Bond10yr,Phila,M1,NASDAQ,S&P 500,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Information Technology,Communication Services,Utilities,Real Estate,AMD,NVIDIA
41,2018-03-01,10951.0,"1,324.00",100.4215,2.33095,199.3,4.0,1.51,64.87,2.27,2.8423809523809522,"1,328.9",3775.9,7180.6,2677.7,489.9,369.1,630.4,818.9,547.1,956.8,470.0,1168.3,152.9,247.6,184.9,11.9,58.1
42,2018-04-01,6844.22998,"1,314.95",100.5398,2.471,200.3,4.0,1.69,68.56,2.49,2.869047619047619,"1,244.4",3832.1,7063.4,2640.9,498.3,356.3,625.0,807.0,541.7,940.7,457.5,1141.6,151.6,256.1,192.1,10.1,57.9
43,2018-05-01,9119.009766,"1,297.92",103.5158,2.78192,203.2,3.8,1.7,66.98,2.4,2.977727272727273,"1,379.0",3789.2,7130.7,2654.8,541.5,356.7,604.4,826.6,512.7,951.5,455.7,1158.7,147.1,260.7,191.9,11.1,56.8
44,2018-06-01,7541.450195,"1,252.25",105.0682,2.80755,204.2,4.0,1.82,74.13,2.52,2.9123809523809525,"1,313.7",3716.8,7554.3,2734.6,561.4,368.8,630.7,846.6,507.9,962.7,455.2,1247.6,145.2,253.0,195.1,14.4,64.4
45,2018-07-01,6385.819824,"1,223.41",105.0457,2.85412,204.3,3.8,1.91,69.88,2.67,2.889047619047619,"1,367.5",3845.5,7510.3,2718.4,561.5,363.7,602.1,870.2,529.1,965.8,441.1,1218.6,148.1,263.3,201.9,15.0,59.2
46,2018-08-01,7624.910156,"1,200.71",105.6219,2.64292,203.4,3.8,1.91,69.84,2.62,2.889130434782609,"1,401.2",3804.8,7707.3,2813.4,561.6,370.7,637.5,881.2,544.8,1028.9,463.8,1255.5,149.5,265.9,205.3,18.5,61.6
47,2018-09-01,7193.25,"1,191.69",105.8258,2.33206,203.6,3.7,1.95,73.16,2.81,3.004210526315789,"1,366.7",3682.9,8109.5,2901.5,547.6,371.6,645.7,929.2,551.5,1071.4,469.3,1327.2,154.0,269.7,208.5,25.2,70.2
48,2018-10-01,6589.620117,"1,214.14",106.553,2.49203,204.6,3.8,2.19,65.31,2.87,3.152272727272728,"1,202.3",3890.6,8037.3,2924.6,569.1,366.9,665.0,936.4,554.5,1107.3,459.8,1328.5,160.4,266.5,200.1,31.4,72.3
49,2018-11-01,6377.779785,"1,221.88",107.7341,2.14733,202.3,3.8,2.2,50.78,2.8,3.117,"1,239.6",3765.0,7434.1,2740.4,501.5,338.6,597.6,850.5,569.4,1040.1,437.8,1230.3,151.1,270.9,199.3,20.2,54.5
50,2018-12-01,4214.671875,"1,282.73",107.7834,2.00238,201.0,3.9,2.27,45.15,2.48,2.8326315789473684,"1,155.2",3997.8,7330.5,2760.2,486.4,341.1,607.9,853.6,576.4,1096.8,447.1,1189.9,149.9,280.7,208.9,21.3,40.9
51,2019-01-01,3843.52002,"1,320.56",106.1347,1.55068,199.1,4.0,2.4,53.84,2.45,2.713809523809524,"1,272.1",3864.2,6635.3,2506.9,424.1,316.6,542.2,781.5,521.9,1001.2,395.9,1088.3,138.8,268.6,192.4,18.5,33.4
52,2019-02-01,3487.945313,"1,312.66",106.1721,1.52006,199.2,3.8,2.4,57.21,2.52,2.676315789473684,"1,350.2",3760.6,7263.9,2706.5,479.4,335.5,604.9,846.2,546.5,1050.2,432.1,1170.2,152.2,276.8,211.6,24.5,36.2
53,2019-03-01,3859.58374,"1,291.90",106.5446,1.85314,200.8,3.8,2.41,60.19,2.27,2.570952380952381,"1,395.5",3813.5,7595.4,2803.7,488.6,343.5,640.9,875.0,558.6,1073.7,441.6,1249.0,155.2,288.1,214.5,23.7,39.1
54,2019-04-01,4158.183105,"1,283.35",106.6761,1.99179,202.1,3.6,2.42,63.83,2.27,2.5323809523809526,"1,556.2",3986.0,7828.9,2867.2,496.1,352.5,645.5,911.8,578.9,1064.2,437.5,1317.4,160.0,293.1,223.7,26.4,45.6
55,2019-05-01,5402.697266,"1,305.25",107.4405,1.79352,201.7,3.7,2.39,53.49,1.95,2.395,"1,296.2",3918.4,8049.6,2923.7,478.7,353.2,653.0,941.4,586.7,1030.3,461.0,1378.0,166.4,294.6,223.2,26.8,45.1
56,2019-06-01,8564.016602,"1,409.10",106.7952,1.64968,200.3,3.6,2.38,58.2,1.75,2.074,"1,459.0",3852.4,7453.1,2752.1,432.1,329.3,604.8,878.5,569.9,1007.0,430.6,1258.6,157.5,293.9,225.1,27.4,33.9
57,2019-07-01,10583.134766,"1,413.55",106.5229,1.77976,200.7,3.7,2.4,58.53,1.89,2.0590909090909086,"1,542.4",4034.5,8091.2,2964.3,471.7,369.7,653.2,953.8,600.1,1078.6,464.1,1392.4,165.5,302.1,227.3,31.2,41.5
58,2019-08-01,10399.668945,"1,519.85",108.3844,1.74678,199.2,3.7,2.13,55.07,1.5,1.6263636363636365,"1,504.9",3919.8,8111.1,2953.6,451.9,363.5,642.6,941.7,608.3,1055.1,458.6,1409.8,168.3,304.9,232.3,29.9,41.2
59,2019-09-01,9757.970703,"1,472.00",108.5786,1.71662,198.4,3.5,2.04,54.09,1.63,1.6995,"1,558.8",4063.8,7962.9,2926.5,422.1,354.3,636.2,940.5,621.3,1046.7,445.7,1393.2,166.6,316.0,242.4,31.5,41.9
60,2019-10-01,8343.276367,"1,513.16",108.0547,1.76918,198.6,3.6,1.83,54.02,1.52,1.7068181818181818,"1,651.2",4078.5,7908.7,2940.3,427.1,356.3,639.2,940.0,627.6,1033.3,455.9,1401.3,165.6,327.5,241.1,28.8,43.5
